"PO031715_24"	"GEO012315_21"	"NA021015_30"	"YS121316_30"	"JUK07_37.1"	"JB021108_07.1"	"JB021108_48.1"	"BOR07_22"	"GEO020414_9_300"
"X10346"	-0.1373	-0.0847	-0.0714	0	-0.1111	-0.0566	-0.0435	-0.0811	-0.0811
"X10351"	NA	-0.0175	NA	0	0	NA	NA	0.6545	-0.027
"X10353"	-0.3488	-0.3386	0.0625	0.24	0	0.0645	-0.0272	-0.0909	0.0286
"X10354"	-0.3872	0.1253	-0.1345	-0.3146	0.1915	-0.0027	-0.28	-0.1875	0.2273
"X10358"	-0.098	-0.1071	-0.2	-0.1	-0.0769	NA	0.4737	0.6552	-0.0256
"X10359"	-0.0658	-0.3191	-0.0976	-0.0678	-0.0552	-0.0498	0.2182	-0.1032	-0.0968
"X10365"	-0.0357	-0.0164	0	0.3437	-0.0811	-0.0857	-0.1034	-0.027	NA
"X10375"	NA	NA	NA	NA	-0.1111	NA	NA	NA	NA
"X10376"	-0.0357	-0.0323	0	0.1667	-0.0526	-0.0333	-0.0455	-0.0769	-0.0256
"X10381"	-0.0247	-0.1862	-0.1321	-0.1892	0.069	0.1831	0.1166	0.3437	-0.125
"X10393"	0	-0.0492	0	NA	0	0	NA	0	-0.0286
"X10400"	-0.1281	-0.1985	-0.2162	0.3293	-0.2621	0	0.1717	-0.012	-0.0312
"X10402"	0	-0.0847	0	NA	-0.0244	-0.12	-0.0698	-0.0811	0.6538
"X10406"	0.0068	0.2619	-0.0976	0.3631	0.1231	0.3521	0.3161	0.4654	0.3073
"X10418"	0	-0.0333	NA	-0.0256	NA	-0.0345	0	NA	0
"X1042"	0	-0.0667	0	-0.0732	-0.0244	-0.069	-0.0417	0	-0.0769
"X10422"	0.0794	-0.2549	0.0164	-0.1429	0.2993	0.1282	0.1111	-0.3782	0.3214
"X1043"	NA	0	0	-0.0233	0	NA	NA	-0.1053	NA
"X10430"	-0.04	NA	NA	-0.0667	0	NA	NA	0	NA
"X10437"	NA	NA	NA	-0.0476	0	0	NA	NA	NA
"X10443"	-0.0357	-0.0667	0.6512	0.1141	0.088	-0.0566	-0.0435	0.3407	-0.0909
"X10444"	-0.0741	-0.1228	-0.0345	0.1141	0.5778	NA	0	-0.1515	0.3407
"X10446"	0.6582	NA	NA	NA	NA	NA	NA	NA	NA
"X1045"	-0.0545	-0.1071	-0.1538	0	0	0	-0.0667	-0.027	0
"X10451"	NA	NA	NA	0	-0.027	NA	NA	-0.027	NA
"X10454"	-0.0175	-0.0323	0	-0.1053	-0.0526	NA	0	-0.0526	NA
"X10461"	-0.2055	-0.2632	-0.2397	-0.0312	0.322	-0.24	-0.0638	-0.1818	0.2881
"X10463"	-0.0357	NA	-0.0345	-0.0769	-0.027	NA	0	NA	-0.0286
"X10470"	NA	NA	NA	-0.0323	0	0	NA	0	NA
"X10476"	NA	NA	NA	0	NA	-0.0164	NA	-0.1053	NA
"X10477"	0.1831	-0.0323	-0.25	-0.1892	0.088	0.0964	0.064	-0.1429	-0.0556
"X10482"	-0.2889	-0.2308	-0.2	-0.211	-0.1429	-0.1765	-0.1111	-0.0329	-0.0857
"X10483"	-0.234	-0.1399	-0.0714	-0.05	0	-0.2609	-0.0909	-0.0526	-0.1613
"X10485"	-0.0213	-0.1765	-0.0909	0.0345	0.5041	0.6262	-0.1111	-0.1176	-0.2121
"X10493"	-0.0357	-0.0847	NA	0	-0.0303	0	0	0	0
"X10495"	-0.1154	-0.1481	-0.1538	NA	-0.0909	-0.0526	-0.25	0	-0.027
"X10498"	-0.0633	-0.428	0.2105	0.1791	-0.0769	-0.0638	-0.1111	-0.0769	-0.25
"X10499"	-0.0247	-0.0031	-0.0714	-0.1892	-0.1032	-0.069	-0.1429	-0.0256	-0.1667
"X10505"	NA	NA	NA	NA	-0.027	NA	0	-0.0588	NA
"X10506"	-0.0943	0.2771	0	-0.0233	-0.0256	-0.0196	-0.0233	0	-0.027
"X10508"	0	-0.0877	-0.0345	-0.0233	-0.1429	0	-0.087	NA	-0.0526
"X10521"	-0.1373	-0.0323	0	-0.0732	NA	-0.0175	-0.0204	-0.1053	NA
"X10528"	-0.1179	-0.3308	-0.2397	0.1373	-0.1053	0.011	-0.1016	-0.1617	0.1667
"X10529"	NA	-0.0164	-0.0714	-0.0476	-0.1429	-0.0222	0	-0.2121	0
"X10532"	-0.0943	-0.0492	NA	0	NA	-0.0476	-0.0256	-0.0526	-0.027
"X1054"	NA	0	NA	-0.0476	0.3437	0	-0.087	-0.05	NA
"X10542"	-0.0222	-0.1154	-0.0714	-0.1429	-0.1032	-0.12	-0.1892	0.131	-0.027
"X10544"	-0.0175	-0.0492	NA	0	NA	-0.0357	0	1	-0.0244
"X10548"	-0.0357	-0.0492	0	NA	NA	NA	NA	0	NA
"X1055"	-0.0175	-0.0508	NA	NA	-0.027	-0.0526	-0.0667	-0.0857	0
"X10550"	-0.1154	-0.1228	-0.0714	0	0.6557	-0.1273	-0.0638	0	-0.1351
"X10552"	0	-0.0667	NA	NA	NA	-0.0333	-0.0204	0	1
"X10567"	-0.1013	-0.1636	0.3036	-0.1053	NA	-0.2609	0.6034	0	1
"X10568"	-0.0196	0	NA	0	-0.0556	0	0	NA	0
"X10570"	-0.16	-0.1429	0.3182	0.0323	-0.1176	0.1844	-0.2353	0.3289	-0.0667
"X10572"	-0.0588	-0.0323	-0.12	-0.0256	NA	-0.0345	-0.0435	-0.0526	-0.0714
"X10573"	-0.0175	NA	NA	-0.0732	0	NA	NA	-0.05	NA
"X10576"	-0.1281	-0.3512	0.125	0.0584	0.1667	-0.0477	0.0181	-0.1053	0.3824
"X10579"	NA	NA	NA	0	-0.0244	NA	NA	NA	NA
"X10585"	-0.0332	-0.0098	-0.0345	0.5962	0.0732	0.1667	-0.1852	-0.0857	-0.0968
"X10586"	-0.0545	0.6596	-0.0345	NA	NA	-0.0175	-0.0204	-0.0244	0
"X1059"	NA	0	-0.0345	NA	-0.0256	NA	NA	NA	NA
"X10594"	0	-0.0159	NA	NA	-0.0625	NA	NA	-0.0526	NA
"X10602"	-0.0545	-0.0323	-0.0345	0	0.6975	-0.037	0.4253	-0.027	-0.0556
"X10604"	-0.0741	-0.0667	-0.0714	-0.2727	NA	-0.0169	0	-0.0678	0.7816
"X10605"	0.0416	-0.202	-0.0976	0.0732	0	-0.1484	0.3636	0.088	0.1667
"X10606"	-0.4872	-0.2087	-0.0345	-0.0661	0.1742	-0.0714	-0.1707	-0.0312	0.322
"X10608"	NA	NA	NA	NA	NA	-0.0244	0	NA	0
"X10612"	-0.1373	-0.1034	1	0	-0.0556	0	0.6522	NA	0.4576
"X10615"	NA	NA	NA	-0.05	-0.0256	0	NA	NA	-0.0244
"X10617"	-0.2083	-0.3333	-0.1538	-0.0732	-0.1034	0.0159	-0.1538	-0.0769	-0.1613
"X10618"	NA	NA	NA	NA	-0.1765	NA	NA	-0.0256	NA
"X10626"	-0.0943	-0.6842	0.125	-0.0041	-0.0769	0.1121	-0.0836	-0.2353	0.0656
"X10630"	-0.0175	-0.0847	0	0	-0.05	0	0	-0.027	0
"X10631"	-0.0821	-0.3831	-0.25	-0.0046	0.1064	0.2225	-0.1538	-0.1786	0.1667
"X10636"	-0.0633	-0.0383	-0.0714	-0.1055	-0.1351	-0.1373	-0.2308	0.0406	-0.1765
"X10642"	0.1253	-0.2087	-0.1321	0.0148	0.3548	0.102	0.0061	0.0155	-0.2706
"X10644"	-0.0175	-0.0323	-0.0714	0	0	NA	NA	NA	NA
"X10646"	0	-0.0164	0	NA	0.3407	NA	NA	-0.0244	-0.0244
"X10647"	-0.1154	-0.0323	-0.1111	-0.2121	-0.0256	-0.125	-0.0968	NA	-0.027
"X10653"	-0.234	-0.2075	-0.1538	0.1791	0.2273	-0.1538	0.1429	-0.1053	-0.2
"X10658"	0.0079	-0.2917	-0.25	-0.1282	-0.0244	0.058	-0.1993	-0.1111	0.0221
"X10661"	NA	NA	NA	NA	-0.0256	NA	0	NA	NA
"X10663"	-0.0357	0	-0.0714	-0.1351	0.6545	0	0	-0.05	NA
"X10664"	-0.157	-0.1327	-0.6116	0.0552	0.2453	-0.1818	0.0857	0.6552	0.2267
"X10665"	0.2127	0.1333	0.28	0.0148	0.28	0.3245	0.5484	0.2772	0.0732
"X10668"	1	NA	NA	0	0.3818	NA	-0.0303	NA	0
"X10669"	NA	-0.0169	1	0.6545	NA	NA	NA	-0.0526	NA
"X10670"	-0.2889	-0.1013	0.3182	-0.0275	-0.1314	0.269	-0.0661	-0.2593	-0.1504
"X10673"	-0.1837	-0.0726	-0.25	0	-0.1515	-0.08	0.1892	-0.1053	-0.3333
"X10674"	0	0	0	0	-0.0256	0.6579	0	-0.0256	NA
"X10677"	0	-0.0164	NA	0.2542	-0.0556	NA	0	0	NA
"X10680"	-0.1837	-0.0667	-0.2	0	NA	-0.1837	-0.0204	-0.0256	-0.0256
"X10685"	0.4757	-0.1071	0	0.0345	NA	0	0	-0.0556	-0.1176
"X10686"	-0.0175	-0.0667	NA	-0.1	NA	-0.037	0.4713	NA	-0.0588
"X10687"	-0.0357	-0.1034	-0.0345	NA	NA	-0.0909	-0.0417	NA	0
"X10695"	-0.0357	-0.0508	0	NA	NA	0	0	NA	NA
"X10699"	-0.0175	-0.1034	-0.0714	-0.05	-0.0244	-0.0526	-0.0204	0.3407	-0.05
"X10700"	-0.0175	0	NA	-0.0233	-0.0256	-0.0169	NA	NA	NA
"X10701"	NA	NA	NA	-0.0233	-0.0909	NA	NA	NA	NA
"X10702"	-0.1837	-0.0031	-0.25	-0.1579	-0.05	0.0217	-0.2308	-0.2727	0.4648
"X10705"	-0.1768	-0.1923	-0.1538	0.1064	0.0079	0.2357	-0.3043	-0.2258	0.0732
"X10707"	-0.0357	-0.0847	-0.1538	-0.1579	-0.2121	-0.1273	-0.0638	0.0455	-0.027
"X10720"	-0.1317	-0.3913	-0.4286	0.1316	0.25	0.1321	-0.0734	-0.3103	-0.2
"X10723"	-0.0943	-0.0667	0	-0.1	-0.027	-0.0175	-0.0667	0	-0.0556
"X10727"	-0.037	-0.0159	0	0	0.4648	-0.0256	-0.0625	0	0.4576
"X10743"	0.2242	-0.1481	-0.0345	0.1791	-0.0909	0	-0.1707	-0.0256	0.0495
"X10750"	NA	-0.0164	NA	-0.0476	-0.0909	0	NA	0	NA
"X10751"	-0.0741	0.0569	-0.1667	-0.1055	-0.1333	0.7869	-0.1	0.1593	-0.027
"X10754"	0	NA	NA	-0.0476	-0.0244	NA	NA	NA	NA
"X1076"	0	0	0	-0.0233	0.6552	NA	0	1	NA
"X10763"	-0.0741	-0.0667	0	NA	0.6545	-0.0175	-0.0435	-0.05	NA
"X10766"	-0.0741	-0.0323	-0.0345	NA	NA	-0.1667	-0.087	NA	-0.0968
"X10768"	-0.2093	-0.3514	-0.2632	-0.1881	0.234	-0.1795	-0.0843	0.4688	-0.05
"X1077"	NA	-0.0159	-0.0345	NA	NA	-0.0526	0.6575	NA	-0.027
"X10774"	-0.0526	-0.0417	-0.1667	-0.0256	0	-0.0213	-0.0556	0.3289	-0.037
"X1078"	-0.1154	0.0725	0	0	0.6545	-0.0164	0.2647	-0.0256	-0.0256
"X10780"	-0.0839	-0.0022	0.4286	0.0584	-0.0678	0.1541	0.1481	0.0909	0.234
"X10783"	NA	NA	NA	NA	-0.0556	NA	NA	NA	NA
"X10789"	0.0794	0.1372	0.1532	0.1047	0.2544	-0.0041	-0.0286	-0.6911	0.3488
"X1079"	NA	NA	-0.037	1	-0.0323	0	NA	1	NA
"X10796"	-0.0455	NA	NA	NA	NA	-0.0385	0	NA	NA
"X10797"	-0.0545	NA	-0.0345	0	NA	-0.0189	-0.0476	NA	-0.0769
"X10802"	NA	NA	0	-0.0476	-0.0811	NA	NA	-0.0769	NA
"X10803"	-0.139	-0.3512	-0.4286	-0.1282	0.7792	-0.0256	0.1304	-0.0526	-0.36
"X10807"	-0.2763	-0.1537	0.0164	-0.2632	0.2364	0.2658	-0.28	-0.1215	-0.0253
"X10811"	-0.234	-0.4884	-0.2	-0.1282	-0.0588	0.0677	-0.0638	-0.0811	-0.1515
"X10812"	NA	NA	-0.12	NA	NA	NA	0	NA	0
"X10813"	NA	NA	NA	NA	NA	NA	NA	0.4603	NA
"X10814"	-0.037	0.2809	-0.1111	NA	0.4648	0	-0.0638	-0.0811	0
"X10822"	NA	0	-0.0345	-0.0476	0	0	1	-0.0526	0
"X10823"	0	0	-0.0345	-0.05	-0.027	NA	NA	0	1
"X10825"	0.3221	-0.0169	-0.3043	-0.123	-0.1445	0.3488	0.0845	-0.4844	0.1119
"X10827"	NA	NA	NA	NA	-0.0244	NA	NA	NA	NA
"X10828"	-0.0545	-0.0159	-0.037	0	-0.0556	0	-0.0213	0	0
"X10829"	NA	NA	NA	NA	NA	NA	NA	1	NA
"X10837"	-0.0175	-0.1481	-0.1538	-0.1667	-0.1656	-0.0769	-0.0213	-0.0857	NA
"X10838"	-0.0175	0	-0.0345	NA	-0.0769	NA	0	0	NA
"X1084"	-0.0741	-0.2075	-0.2	0.1852	-0.2632	0.275	0.4699	-0.25	-0.1765
"X10843"	0.1831	0.2132	-0.037	-0.0769	-0.0625	-0.1373	0.6211	-0.0857	-0.0323
"X10848"	-0.0175	-0.0159	NA	NA	NA	0	-0.0204	NA	NA
"X1085"	-0.0213	NA	NA	0.6552	NA	NA	NA	NA	0
"X10855"	0.0645	-0.1847	-0.3636	-0.3265	-0.26	-0.2162	-0.2632	-0.125	0.2267
"X10856"	-0.0545	0.0336	-0.0345	-0.1892	-0.0244	-0.069	-0.1111	0.0455	-0.0244
"X10857"	-0.0175	-0.0323	0	-0.0732	0	1	0	-0.0256	0
"X10858"	-0.1667	-0.069	-0.0345	0.2542	-0.1053	0.2105	-0.0526	-0.0857	-0.1111
"X1086"	-0.0545	0	NA	NA	0	0	-0.0638	-0.05	NA
"X10862"	NA	0	NA	0	-0.05	0	NA	0	0
"X10865"	-0.0943	-0.1481	-0.2	0	NA	0.1667	0	-0.0556	-0.2353
"X10867"	-0.0182	-0.0175	NA	0	0.3437	-0.0345	-0.0213	0.6557	-0.05
"X10868"	-0.04	-0.0638	-0.0435	-0.1053	-0.0588	0	0	-0.0909	-0.0323
"X10870"	NA	NA	NA	NA	0	0	0	NA	NA
"X10871"	0.2077	0.0336	0.1176	0.2245	1	0.2132	0.3534	0.6545	0.0909
"X10875"	NA	0	NA	NA	-0.027	NA	NA	NA	NA
"X10876"	-0.1373	-0.1034	-0.0345	-0.1579	-0.05	-0.1071	-0.0417	0.0455	-0.0526
"X1088"	-0.2889	-0.28	-0.1345	-0.2022	0.3151	-0.1481	-0.0762	0.1732	0.0345
"X10884"	-0.0741	-0.0492	-0.0769	-0.1515	NA	-0.0526	0	0.4545	NA
"X10888"	-0.1387	-0.1064	-0.0345	0.2432	-0.0411	-0.1445	0.2727	0.3066	0.1127
"X10889"	0.0157	-0.1327	-0.26	-0.2	0.0732	-0.0407	-0.1387	0.2432	0.2453
"X10890"	0.4737	0.0508	-0.1111	0.2453	0.3182	0.0789	0.618	1	-0.0968
"X10894"	-0.16	-0.1862	-0.1111	-0.1351	0	-0.0633	-0.1905	0.0977	0.1509
"X10897"	NA	0	NA	-0.0769	-0.0588	-0.0196	NA	NA	0
"X10901"	-0.0943	-0.1852	-0.2	NA	-0.0556	0.0625	-0.25	-0.027	0.1064
"X10903"	0.0068	-0.4545	0.3802	-0.144	0.1231	0.03	-0.3187	-0.016	-0.1921
"X10904"	NA	0	NA	-0.1282	-0.0526	NA	NA	0.25	NA
"X10905"	0.0392	-0.0663	0.4545	-0.05	NA	-0.0256	0.2727	0.6211	0.3968
"X10907"	-0.0821	-0.4291	-0.3043	0	0.0977	-0.3326	-0.1089	0.3333	0.0043
"X1091"	-0.0175	-0.0492	-0.0345	NA	0	-0.0175	0	NA	-0.027
"X10911"	-0.0357	-0.0159	-0.0345	-0.0476	0.6552	-0.0169	-0.0435	0	0
"X10912"	-0.0545	-0.0492	-0.0714	-0.2353	-0.156	-0.2174	-0.1364	-0.25	-0.1429
"X10916"	-0.0633	-0.4884	0.1176	-0.1055	0.1474	-0.0526	0.12	-0.0256	-0.1613
"X10917"	-0.1837	-0.2087	-0.3983	-0.0769	0.1579	-0.0473	0.1758	0.1139	0.4048
"X10921"	-0.0545	-0.4019	-0.4286	-0.1881	-0.1	0.3503	0.1009	-0.3069	-0.1987
"X10926"	NA	-0.0169	0	-0.0233	NA	NA	-0.0417	-0.0526	NA
"X10928"	-0.0545	NA	NA	0	NA	-0.0213	0	-0.0244	0
"X10929"	-0.1837	-0.2578	0.2683	-0.0471	0.0217	0.0718	0.1742	-0.2121	-0.2121
"X10930"	-0.0643	-0.0943	-0.05	0.0521	-0.0244	-0.3139	-0.2255	-0.2264	0.4366
"X10945"	0	NA	NA	NA	-0.0256	-0.027	NA	0	NA
"X10951"	-0.0943	-0.234	-0.26	0	-0.2798	-0.2456	-0.375	0.3968	-0.1613
"X10956"	-0.0741	-0.1852	-0.1111	-0.1053	1	-0.0566	-0.0909	-0.1429	-0.0256
"X10961"	0	NA	NA	-0.05	NA	NA	NA	NA	NA
"X10971"	-0.1373	-0.0847	-0.1111	0	-0.0244	-0.0545	-0.0204	0	-0.0556
"X10977"	-0.3426	-0.3831	-0.1321	-0.0732	-0.2	-0.1382	0.1406	-0.123	-0.2242
"X10981"	NA	NA	NA	0	0.6538	0	NA	NA	NA
"X1099"	0.0157	-0.0508	0.0118	-0.3146	0.3824	-0.0991	0.2	0.5078	0.2364
