sample	prop_het	read_depth	p_missing_genos	rem_ho
YS_121316_24	0.182698962	6058065	0.004135079	0
YS_121316_25	0.173867596	3211547	0.011026878	0
YS_121316_26	0.179433733	2863848	0.008097864	0
YS_121316_27	0.163543441	4262963	0.089765679	0
YS_121316_28	0.170839753	3981699	0.105444521	0
YS_121316_29	0.146326776	2857842	0.141626465	0
YS121315_08.1	0.16868103	2252448	0.016368022	0
YS121315_10.1	0.178197457	1311987	0.078566506	0
YS121315_12_300	0.163229018	4038365	0.031013094	0
YS121315_14.1	0.307103064	2885627	0.010337698	1
YS121315_15	0.179728318	4324878	0.010682288	0
YS121315_16	0.182668977	6716657	0.005858029	0
YS121316_30	0.196235622	4335330	0.011371468	0
YS_121316_04	0.170637971	1444967	0.103376981	0
YS_121316_19	0.159184559	3922248	0.205547898	0
YS_121316_20_2	0.245142262	7233818	0.006891799	0
YS121315_14_2	0.310566562	3238656	0.008614748	1
YS_121316_07	0.197913043	2921349	0.009303928	0
JUK07_01	0.15289103	3616220	0.070296347	0
JUK07_02.1	0.211365211	8561987	0.005513439	0
JUK07_03	0.160029635	3800860	0.069779462	0
JUK07_06.1	0.237752414	17189641	0.018780152	0
JUK07_09.1	0.211155378	7283224	0.005341144	0
JUK07_14	0.155711905	3822809	0.069434873	0
JUK07_15	0.175560577	6618897	0.008787043	0
JUK07_16_rep.1	0.200947701	5945979	0.018263267	0
JUK07_17	0.142744944	2540837	0.122501723	0
JUK07_18	0.161597655	3931160	0.059614059	0
JUK07_19	0.176067475	4498926	0.019469331	0
JUK07_20	0.154191617	3519086	0.079255686	0
JUK07_22	0.140774837	2968381	0.101654032	0
JUK07_25	0.121723227	2183098	0.152136458	0
JUK07_26	0.16075525	4618372	0.023604411	0
JUK07_27	0.173382173	5317563	0.012232943	0
JUK07_28	0.130597751	2441945	0.126636802	0
JUK07_29.1	0.201317843	9984096	0.006374914	0
JUK07_30	0.206489676	9952413	0.007064094	0
JUK07_32	0.201386482	10988844	0.005858029	0
JUK07_36.1	0.187884109	4837063	0.018780152	0
JUK07_37.1	0.184233679	5751544	0.020847691	0
JUK07_10	0.160564021	3866920	0.242419021	0
JUK07_13	0.179147259	2331019	0.038249483	0
JUK07_21	0.167149059	1992512	0.047553411	0
JUK07_23	0.186925795	6616902	0.024810476	0
JUK07_34	0.168293982	3598520	0.02946244	0
JUK07_04	0.164077843	2122471	0.034975879	0
JUK07_31	0.181455114	5458205	0.007753274	0
JUK07_11	0.176115159	2625620	0.03049621	0
JUK07_08	0.189544746	6164980	0.004651964	0
JUK07_33	0.179161593	4761034	0.009476223	0
JB121807_01	0.173777315	2672936	0.006547209	0
JB121807_03.1	0.185475444	2695033	0.010682288	0
JB121807_06.1	0.186555498	2942523	0.008097864	0
JB121807_08	0.160138648	2592970	0.006029285	0
JB121807_11.1	0.181425112	4079581	0.003790489	0
JB121807_12.1	0.169014085	1220369	0.204858718	0
JB121807_14.1	0.188547984	3532063	0.034114404	0
JB121807_19.1	0.171235253	2325569	0.006891799	0
JB121807_20.1	0.170667601	1789463	0.016712612	0
JB121807_21.1	0.1708114	3461393	0.050827016	0
JB121807_24.1	0.167047251	2080584	0.019124742	0
JB121807_25	0.169685613	1119322	0.172467264	0
JB121807_28.1	0.162477558	1348383	0.040317023	0
JB121807_31.1	0.206068046	4858641	0.017574087	0
JB121807_32.1	0.178101671	3692041	0.030668504	0
JB121807_33.1	0.16192521	4011732	0.037043418	0
JB121807_34.1	0.176848317	3964034	0.007236389	0
JB121807_37	0.169126584	3947023	0.007753274	0
JB121807_38.1	0.176323319	3410899	0.036526533	0
JB121807_42	0.134313725	2624412	0.121295658	0
JB121807_44	0.170956522	5447707	0.009303928	0
JB121807_46	0.147232671	3609690	0.038077188	0
JB121807_22_c	0.144205128	3313335	0.160062026	0
JB121807_26_c	0.156685499	3862006	0.085113715	0
JB121807_39	0.185654741	8133702	0.007925569	0
JB121807_05_2	0.185816096	2716081	0.008787043	0
JB121807_35_2	0.162310867	1045274	0.123190903	0
JB121807_23_2	0.164535853	1844035	0.070124052	0
JB121807_27_2	0.175212164	2720735	0.025499655	0
JB121807_30_2	0.187335092	3019204	0.020503101	0
JB121807_16_2	0.163229943	5692288	0.005685734	0
JB121807_18	0.165448852	2622235	0.009648518	0
JB121807_43	0.18861704	3599829	0.007064094	0
JB121807_29	0.185383244	1504511	0.033425224	0
JB021108_02.1	0.183579986	4311669	0.022053756	0
JB021108_04.1	0.17197327	1816458	0.123363198	0
JB021108_05	0.182022472	10651977	0.003445306	0
JB021108_06	0.173300886	2104987	0.008787043	0
JB021108_07.1	0.179895105	2503842	0.014472777	0
JB021108_08.1	0.157195145	1721654	0.105616816	0
JB021108_09.1	0.183863596	4329770	0.019813921	0
JB021108_12.1	0.174342105	4944510	0.004824259	0
JB021108_13.1	0.168797058	2579086	0.016023432	0
JB021108_16	0.25	3108991	0.004824259	0
JB021108_17.1	0.213094825	2425901	0.007925569	0
JB021108_19.1	0.190608696	6267465	0.009303928	0
JB021108_20	0.15720608	1053046	0.104583046	0
JB021108_22.1	0.171684451	3244823	0.095796003	0
JB021108_26.1	0.185762352	2900671	0.02705031	0
JB021108_29	0.164666167	1814690	0.081323225	0
JB021108_30	0.178231528	5002275	0.004307374	0
JB021108_32	0.187694435	7666082	0.003101309	0
JB021108_34	0.171855088	2553725	0.053583735	0
JB021108_35_rep	0.161228773	986962	0.097002068	0
JB021108_36.1	0.18568699	3564362	0.008097864	0
JB021108_37.1	0.178806798	3874496	0.006547209	0
JB021108_38.1	0.185342089	1459670	0.186595451	0
JB021108_39	0.140228549	2476612	0.110441075	0
JB021108_41.1	0.166035593	2899441	0.089937974	0
JB021108_44.1	0.169350649	3562001	0.004996554	0
JB021108_45	0.181943964	7512937	0.003790489	0
JB021108_46.1	0.181645351	5675208	0.003101309	0
JB021108_47.1	0.178707224	3923619	0.003101309	0
JB021108_48.1	0.182182706	7101400	0.011716058	0
JB021108_24_c	0.145265152	2981537	0.090282564	0
JB021108_33_rep	0.168991978	7652833	0.012060648	0
JB021108_11_2	0.174455376	1922970	0.019297037	0
JB021108_28_2	0.155673432	2985472	0.252929014	0
JB021108_40_2	0.146588987	1167827	0.08321847	0
JB021108_14_2	0.162157221	2035030	0.05754652	0
JB021108_25_2	0.139285017	1555987	0.118022054	0
JB021108_31_2	0.157271095	2674493	0.040317023	0
JB021108_23	0.164781022	1216964	0.05582357	0
BOR07_02.1	0.187890354	4096017	0.006891799	0
BOR07_03	0.154972875	2968140	0.047208822	0
BOR07_04	0.191268191	5993580	0.005513439	0
BOR07_05.1	0.201183432	8659570	0.009993108	0
BOR07_06.1	0.188436085	4078253	0.010682288	0
BOR07_07.1	0.192939955	6259115	0.004307374	0
BOR07_08.1	0.201971295	9296113	0.003618194	0
BOR07_09	0.169794925	5769259	0.008614748	0
BOR07_10.1	0.334896648	4774298	0.008097864	1
BOR07_11.1	0.220412407	6057266	0.005685734	0
BOR07_12.1	0.220932247	3962949	0.005685734	0
BOR07_13.1	0.20267454	4475682	0.007925569	0
BOR07_14	0.199861448	10735145	0.005168849	0
BOR07_15	0.23464075	7761056	0.007236389	0
BOR07_16	0.202719191	3692985	0.011543763	0
BOR07_17.1	0.190691212	3287279	0.007925569	0
BOR07_18	0.177836412	7110518	0.020503101	0
BOR07_19.1	0.185508278	5149426	0.032219159	0
BOR07_20.1	0.199791341	7747504	0.009131633	0
BOR07_22	0.188172043	6685657	0.006547209	0
BOR07_01_2	0.176614738	3986942	0.015678842	0
BOR07_21_2	0.18957346	4331290	0.018435562	0
GEO020414_11_300	0.194078947	4659273	0.004824259	0
GEO020414_13_300	0.173776224	3172787	0.014472777	0
GEO020414_14_300	0.1739753	3494966	0.037388008	0
GEO020414_15_300	0.18547419	2039080	0.138869745	0
GEO020414_16_300	0.178832117	3618428	0.008614748	0
GEO020414_17_300	0.204780011	3057343	0.048414886	0
GEO020414_2	0.167089066	4056569	0.048406546	0
GEO020414_23_300	0.208203531	6158191	0.004479669	0
GEO020414_24_300	0.208384067	3842521	0.009476223	0
GEO020414_25_300	0.153758325	2587646	0.094589938	0
GEO020414_26	0.14996288	3752341	0.071674707	0
GEO020414_27	0.155743608	4659426	0.043073742	0
GEO020414_29	0.137069292	3083761	0.089937974	0
GEO020414_3	0.167278448	4784237	0.014470284	0
GEO020414_4	0.173799582	5641450	0.009648518	0
GEO020414_5	0.164349376	4831675	0.033425224	0
GEO020414_6	0.15045228	3555024	0.066678153	0
GEO020414_7	0.194073817	4631204	0.005685734	0
GEO020414_8_300	0.166897267	5328677	0.003790489	0
GEO020414_9_300	0.16958042	3311770	0.014472777	0
GEO020414_10_2	0.177866992	2970744	0.012922123	0
GEO020414_30_2	0.167084977	1798634	0.038938663	0
