locus	chrom
2191	GmG20150304_scaffold_1950
2202	LG13
2209	LG21
2214	LG20
2217	LG13
2221	LG11
2237	LG07
2238	LG10
2240	LG08
2275	LG06
2276	LG02
2277	LG01
2278	LG04
2279	LG12
2309	LG21
2314	LG03
2315	LG04
2318	LG08
2320	LG20
2330	LG14
2333	LG13
2336	LG18
2337	LG07
2343	LG08
2344	LG23
2346	LG13
2350	LG13
2353	LG17
2356	LG13
2360	LG20
2365	LG16
2367	LG14
2370	LG22
2372	LG21
2373	LG19
2387	LG11
2395	LG01
2396	LG21
2405	LG01
2406	LG06
2409	LG12
2411	LG13
2419	LG15
2427	LG15
2431	LG03
2434	LG20
2435	LG23
2445	LG15
2457	LG07
2458	LG15
2459	LG06
2463	LG23
2484	LG01
2495	LG07
2504	LG13
2506	LG06
2507	LG05
2512	LG16
2523	LG14
2527	LG01
2530	LG21
2531	LG19
2535	LG21
2536	LG23
2537	LG11
2547	LG15
2555	LG19
2566	LG11
2578	LG06
2580	LG03
2581	LG17
2584	LG05
2588	LG11
2590	LG21
2594	LG02
2605	LG01
2609	LG17
2611	LG16
2626	LG21
2631	LG17
2635	LG10
2646	LG22
2650	LG07
2653	LG18
2658	LG13
2662	LG07
2688	LG22
2691	LG06
2694	LG02
2695	LG21
2696	LG06
2703	LG14
2705	LG01
2717	LG09
2725	LG07
2743	LG12
2745	LG15
2765	LG03
2767	LG14
2770	LG02
2771	LG06
2772	LG21
2774	LG15
2775	LG08
2785	LG14
2809	LG06
2812	LG15
2818	LG07
2819	LG09
2822	LG12
2824	LG08
2839	LG22
2848	LG14
2869	LG23
2873	LG11
2878	LG19
2881	LG13
2882	LG02
2883	LG07
2887	LG01
2892	LG08
2897	LG20
2899	LG13
2903	LG20
2906	LG23
2909	LG22
2910	LG16
2911	LG01
2916	LG03
2927	LG14
2933	LG05
2936	LG10
2937	LG02
2940	LG20
2944	LG20
2955	LG03
2959	LG11
2964	LG01
2968	LG01
2977	LG19
2980	LG22
2981	LG16
2982	LG07
2983	LG20
2990	LG18
2998	LG14
3000	LG16
3008	LG07
3010	LG08
3013	LG09
3015	LG14
3022	GmG20150304_scaffold_3201
3033	LG18
3034	LG10
3049	LG20
3052	LG09
3058	LG01
3061	LG11
3066	LG11
3068	LG01
3084	LG04
3089	LG01
3101	LG12
3103	LG08
3105	LG07
3106	LG22
3107	LG08
3112	LG15
3125	LG19
3128	LG01
3133	LG14
3140	LG04
3143	LG23
3158	LG03
3160	LG10
3161	LG12
3166	LG18
3183	LG16
3192	LG13
3193	LG11
3200	LG09
3201	LG21
3202	LG13
3206	LG21
3207	LG12
3213	LG03
3215	LG03
3224	LG06
3231	LG17
3241	LG16
3242	LG13
3247	LG17
3251	LG16
3255	LG15
3256	LG20
3257	LG08
3265	LG11
3268	LG16
3275	LG08
3276	LG11
3283	LG05
3284	LG20
3286	LG01
3293	LG15
3301	LG20
3313	LG16
3314	LG22
3315	LG20
3317	LG19
3318	LG14
3323	LG12
3329	LG11
3330	LG08
3333	LG10
3341	LG12
3350	LG22
3359	LG18
3362	LG10
3363	LG01
3366	LG19
3369	LG01
3372	LG01
3398	LG23
3405	LG17
3406	LG12
3410	LG07
3415	LG01
3417	LG17
3423	LG14
3438	LG12
3440	LG13
3441	LG04
3446	LG17
3467	LG16
3469	LG16
3473	LG01
3486	LG14
3490	LG10
3508	GmG20150304_scaffold_6317
3509	LG11
3518	LG13
3519	LG02
3521	LG02
3524	LG05
3527	LG01
3528	LG18
3536	LG17
3548	LG09
3561	LG09
3580	LG16
3583	LG18
3585	LG06
3588	LG04
3596	LG18
3602	LG13
3604	LG07
3615	LG02
3620	LG19
3635	LG14
3641	LG09
3643	LG03
3652	LG19
3653	LG03
3655	GmG20150304_scaffold_9678
3660	LG18
3666	LG15
3676	LG20
3679	LG02
3681	LG08
3686	LG21
3689	LG17
3699	LG14
3701	LG15
3714	LG18
3716	LG16
3721	LG14
3723	LG19
3726	LG10
3739	LG03
3742	LG20
3743	LG21
3759	LG09
3760	LG04
3761	LG08
3768	LG04
3771	LG11
3772	LG06
3778	LG04
3779	LG23
3785	LG20
3787	LG21
3798	LG19
3800	LG16
3802	LG01
3804	LG08
3811	LG04
3816	LG04
3824	LG06
3827	LG11
3831	LG09
3836	LG06
3838	LG16
3840	LG07
3856	LG06
3863	LG07
3868	LG20
3879	LG19
3880	LG16
3882	LG01
3884	LG01
3890	LG20
3891	LG03
3894	LG04
3895	LG09
3901	LG07
3902	LG04
3906	LG03
3907	LG15
3912	LG13
3913	LG16
3914	LG21
3915	LG10
3917	LG21
3920	LG22
3925	LG04
3933	LG02
3937	LG06
3945	LG20
3948	LG11
3949	LG20
3950	LG05
3957	LG10
3960	LG22
3967	LG14
3968	LG05
3969	LG09
3970	LG22
3972	LG06
3976	LG17
3982	LG01
3983	LG10
3991	LG22
4006	LG09
4009	LG12
4011	LG04
4024	LG09
4028	LG07
4029	LG16
4032	LG11
4033	LG21
4034	LG13
4036	LG07
4037	LG23
4043	LG11
4045	LG14
4048	LG14
4049	LG10
4050	LG20
4052	LG22
4054	LG18
4066	LG11
4084	LG10
4085	LG21
4090	LG04
4091	LG06
4092	LG21
4093	LG19
4096	LG01
4099	LG13
4105	LG10
4107	LG04
4112	LG06
4128	LG10
4130	LG14
4135	GmG20150304_scaffold_7973
4138	LG05
4144	LG14
4151	LG19
4155	LG05
4161	LG23
4172	LG17
4173	LG22
4176	LG23
4179	LG21
4199	LG21
4202	LG20
4206	LG23
4218	LG11
4223	LG21
4237	LG01
4240	LG08
4250	LG06
4251	LG23
4252	LG21
4256	LG14
4257	LG23
4260	LG16
4266	LG20
4270	LG06
4273	LG19
4283	LG12
4288	LG07
4291	LG14
4296	LG06
4312	LG22
4320	LG14
4324	LG06
4326	LG19
4330	LG09
4331	LG16
4335	LG19
4343	LG07
4345	LG07
4359	LG04
4365	LG18
4369	LG20
4379	LG12
4381	LG20
4382	LG05
4385	LG22
4387	LG06
4389	LG03
4391	LG13
4394	LG09
4400	LG05
4403	LG06
4405	LG19
4408	LG23
4410	LG21
4416	LG03
4423	LG16
4436	LG18
4437	LG12
4439	LG21
4451	LG04
4454	LG12
4462	LG02
4481	LG06
4482	LG05
4486	LG09
4489	LG10
4490	LG16
4505	LG09
4518	LG23
4520	LG02
4528	LG12
4529	LG07
4533	LG13
4540	LG13
4570	LG09
4574	LG05
4576	LG12
4577	LG06
4584	LG08
4594	LG06
4601	LG17
4607	LG12
4609	LG15
4614	LG03
4621	LG14
4622	LG06
4626	LG22
4628	LG05
4629	LG18
4632	LG20
4635	LG03
4639	LG15
4643	LG18
4647	LG16
4648	LG14
4665	LG21
4679	LG13
4680	LG03
4689	LG15
4697	LG03
4699	LG11
4702	LG11
4706	LG16
4717	LG15
4721	LG07
4722	LG06
4724	LG15
4735	LG20
4740	LG09
4745	LG09
4748	LG17
4755	LG18
4765	LG07
4768	LG02
4770	LG06
4771	LG01
4773	LG20
4785	LG02
4791	LG23
4792	LG18
4801	LG11
4822	LG12
4846	LG14
4859	LG10
4866	LG15
4869	LG07
4872	LG07
4873	LG22
4884	LG15
4885	LG23
4887	LG22
4888	LG07
4889	LG14
4894	LG19
4897	LG10
4912	LG22
4913	LG01
4916	LG08
4928	GmG20150304_scaffold_4105
4929	LG16
4933	LG03
4944	LG20
4953	LG15
4955	LG06
4960	LG04
4961	LG10
4964	LG13
4969	LG12
4971	LG15
4974	LG23
4977	LG23
4986	LG09
4988	LG19
4997	LG02
4999	LG20
5002	LG14
5003	LG06
5017	LG21
5020	LG04
5022	LG08
5023	LG09
5025	LG16
5026	LG09
5031	LG07
5046	LG19
5065	LG10
5075	LG23
5076	LG11
5083	LG06
5096	LG18
5115	LG08
5118	LG13
5122	LG20
5129	LG11
5133	LG01
5134	LG08
5135	LG12
5137	LG20
5140	LG02
5141	LG03
5146	LG16
5151	LG12
5177	LG23
5181	LG14
5184	LG06
5185	LG11
5204	LG12
5207	LG18
5213	LG09
5230	LG15
5236	LG08
5244	LG20
5251	LG08
5260	LG03
5263	LG18
5264	LG07
5266	LG06
5270	LG09
5272	LG02
5276	LG09
5278	LG23
5280	LG20
5284	LG23
5297	LG08
5299	LG18
5302	LG08
5306	LG20
5311	LG11
5316	LG05
5320	LG15
5328	LG01
5335	LG20
5336	LG12
5350	LG18
5353	LG08
5360	LG22
5365	LG09
5378	LG03
5383	LG11
5385	LG14
5388	LG12
5389	LG09
5392	LG03
5400	LG20
5407	LG01
5409	LG03
5414	LG06
5428	LG15
5429	LG10
5430	LG18
5435	LG06
5438	LG05
5439	LG21
5440	LG19
5442	LG20
5444	LG18
5454	LG19
5460	LG05
5463	LG01
5467	LG21
5468	LG23
5472	LG16
5477	LG23
5479	LG06
5480	LG11
5489	LG01
5513	LG15
5515	LG23
5524	LG15
5530	LG15
5538	LG09
5543	LG03
5550	LG09
5553	LG06
5555	LG22
5561	LG14
5562	LG02
5566	LG14
5576	LG23
5580	LG02
5585	LG01
5589	LG20
5597	LG21
5598	LG18
5599	LG14
5602	LG06
5608	LG23
5613	LG14
5618	LG19
5626	LG03
5631	LG15
5636	LG23
5642	LG09
5645	LG12
5651	LG19
5655	LG16
5658	LG08
5679	LG02
5680	LG21
5684	LG04
5689	LG11
5700	LG14
5710	LG09
5714	LG10
5716	LG07
5721	LG02
5726	LG19
5728	LG03
5742	LG18
5751	LG01
5754	LG10
5755	LG05
5766	LG13
5769	LG13
5778	LG07
5781	LG08
5782	LG06
5787	LG10
5793	LG17
5797	LG15
5798	LG17
5803	LG02
5804	LG09
5806	LG02
5808	LG11
5811	LG14
5819	LG19
5827	LG12
5843	LG23
5858	LG22
5869	LG18
5877	LG08
5878	LG08
5887	LG22
5888	LG18
5889	LG08
5891	LG15
5900	LG01
5907	LG23
5922	LG09
5923	LG17
5930	LG03
5932	LG13
5935	LG11
5937	LG12
5964	LG12
5967	LG03
5977	LG11
5985	LG09
5988	LG10
5995	LG02
5998	LG09
6004	LG18
6011	LG02
6019	LG11
6030	LG13
6042	LG07
6043	LG14
6044	LG12
6046	LG18
6048	LG23
6052	LG14
6058	LG21
6060	LG15
6064	LG19
6068	LG11
6070	LG14
6087	LG12
6097	LG05
6105	LG05
6112	GmG20150304_scaffold_1980
6117	LG11
6121	LG23
6122	LG22
6127	LG22
6129	LG11
6130	LG21
6135	LG15
6152	LG04
6158	LG06
6162	LG12
6166	LG13
6168	LG14
6170	LG16
6172	LG07
6181	LG10
6183	LG18
6185	LG09
6192	LG11
6194	LG10
6199	LG04
6206	LG17
6218	LG16
6223	LG19
6224	LG01
6233	LG20
6239	LG17
6242	LG03
6243	LG06
6244	LG03
6261	LG04
6262	LG18
6268	LG22
6271	LG11
6276	LG10
6280	LG17
6283	LG10
6285	LG07
6288	LG05
6292	LG08
6297	LG11
6306	LG22
6310	LG16
6312	LG18
6329	LG04
6330	LG19
6339	LG14
6340	LG12
6341	LG22
6344	LG07
6348	LG13
6351	LG03
6358	LG22
6365	LG02
6369	LG21
6373	LG06
6374	LG22
6385	LG20
6387	LG15
6392	LG10
6399	LG16
6406	LG14
6407	LG20
6416	LG12
6417	LG14
6420	LG18
6425	LG10
6429	LG20
6436	LG10
6440	LG14
6448	LG06
6455	LG16
6456	LG07
6466	LG15
6468	LG13
6469	LG07
6474	LG16
6477	LG15
6482	LG09
6483	LG18
6493	LG04
6495	LG01
6501	LG13
6505	LG07
6509	LG10
6512	LG21
6519	LG06
6529	LG21
6532	LG04
6536	LG03
6537	LG11
6545	LG02
6549	LG18
6551	LG06
6552	LG14
6558	LG09
6562	LG16
6567	LG11
6570	LG20
6575	LG03
6576	LG11
6578	LG08
6581	LG23
6600	LG16
6612	LG22
6613	LG05
6620	LG16
6622	LG23
6627	LG15
6629	LG13
6633	LG09
6641	LG16
6648	LG14
6652	LG23
6665	LG14
6666	LG18
6673	LG07
6681	LG10
6684	LG15
6688	LG07
6689	LG03
6692	LG18
6693	LG02
6702	LG09
6707	LG08
6709	LG02
6714	LG08
6717	LG22
6738	LG18
6741	LG15
6746	LG21
6747	LG05
6750	LG20
6759	LG10
6762	LG19
6763	LG04
6771	LG15
6773	LG03
6776	LG15
6778	LG08
6782	LG21
6784	LG22
6789	LG21
6792	LG03
6796	LG04
6811	LG07
6812	LG07
6819	LG12
6822	LG07
6827	LG13
6828	LG11
6830	LG05
6837	LG21
6845	LG08
6846	LG01
6850	LG03
6859	LG11
6860	LG05
6872	LG04
6884	LG12
6886	LG13
6887	LG14
6900	LG14
6901	LG08
6902	LG09
6903	LG21
6904	LG18
6906	LG03
6907	LG09
6915	LG03
6917	LG22
6923	LG04
6924	LG20
6925	LG09
6928	LG21
6932	LG11
6936	LG04
6941	LG06
6943	LG16
6953	LG07
6956	LG11
6959	LG03
6961	LG15
6966	LG07
6971	LG22
6985	LG07
6988	LG15
6998	LG14
7002	LG07
7003	LG01
7009	LG10
7017	LG06
7022	LG16
7023	LG06
7033	LG05
7051	LG11
7057	LG12
7063	LG11
7066	LG15
7070	LG01
7071	LG16
7081	LG07
7091	LG05
7092	LG13
7093	LG16
7095	LG13
7100	LG17
7103	LG12
7116	LG23
7117	GmG20150304_scaffold_9515
7127	LG11
7128	LG19
7134	LG01
7137	LG05
7138	LG18
7151	LG21
7153	LG03
7162	LG15
7164	LG23
7165	LG11
7182	LG02
7184	LG12
7185	LG21
7201	LG21
7205	LG19
7209	LG03
7213	LG19
7223	LG12
7225	LG12
7232	LG19
7236	LG16
7249	LG11
7260	LG15
7277	LG03
7281	LG13
7282	LG16
7287	LG07
7292	LG08
7294	LG06
7295	LG19
7298	LG21
7299	LG02
7305	LG09
7308	LG08
7318	LG01
7319	LG12
7328	LG16
7329	LG15
7335	LG14
7336	LG01
7337	LG18
7338	LG09
7340	LG03
7350	LG15
7355	LG16
7356	LG12
7360	LG13
7362	LG02
7364	LG12
7367	LG22
7371	LG13
7378	LG23
7384	LG22
7387	LG06
7389	LG10
7396	LG18
7405	LG17
7409	LG23
7410	LG21
7416	LG23
7418	LG09
7419	LG12
7428	LG10
7432	LG04
7437	LG20
7440	LG16
7443	LG20
7447	LG21
7457	LG08
7458	LG08
7462	LG12
7463	LG20
7471	LG04
7477	LG06
7490	LG01
7499	LG11
7512	LG01
7513	LG06
7514	LG06
7515	LG01
7517	LG15
7523	LG13
7525	LG06
7526	LG05
7528	LG09
7532	LG02
7534	LG13
7539	LG20
7540	LG23
7543	LG19
7554	LG13
7560	LG03
7562	LG03
7567	LG10
7571	LG04
7578	LG03
7588	LG13
7591	LG02
7597	LG01
7602	LG09
7605	LG18
7619	LG21
7620	LG03
7625	LG18
7631	LG18
7650	LG14
7657	LG07
7659	LG20
7662	LG09
7665	GmG20150304_scaffold_1924
7667	LG19
7672	LG14
7675	LG08
7684	LG09
7694	LG13
7697	LG06
7698	LG09
7701	LG19
7703	LG08
7704	LG05
7711	LG11
7714	LG07
7721	LG11
7726	LG22
7734	LG14
7743	LG04
7755	LG08
7756	LG03
7759	LG02
7769	LG21
7770	LG20
7789	LG03
7790	LG20
7794	LG14
7796	LG06
7803	LG15
7807	LG05
7812	LG10
7816	LG12
7818	LG12
7820	LG09
7822	LG16
7836	LG06
7840	LG21
7848	LG21
7854	LG05
7865	LG13
7868	LG04
7879	LG07
7881	LG01
7883	LG16
7887	LG05
7892	LG12
7900	LG09
7913	LG03
7925	LG19
7935	LG10
7940	LG10
7943	LG12
7950	LG05
7953	LG22
7965	LG11
7967	LG11
7984	LG16
7987	LG13
7990	LG22
7992	LG18
7995	LG23
8015	LG04
8016	LG13
8017	LG01
8018	LG16
8019	GmG20150304_scaffold_9414
8020	LG16
8021	LG15
8035	LG16
8041	LG18
8047	LG07
8053	LG12
8054	LG22
8059	LG13
8063	LG22
8064	LG22
8068	LG13
8074	LG15
8077	LG21
8078	LG02
8081	LG02
8090	LG20
8093	LG17
8099	LG07
8101	LG04
8103	LG14
8117	LG23
8119	LG05
8122	LG09
8130	LG16
8144	LG03
8145	LG12
8170	LG07
8187	LG08
8192	LG15
8198	LG03
8204	LG15
8205	LG20
8227	LG07
8230	LG06
8231	LG08
8236	LG21
8243	LG21
8245	LG16
8246	LG13
8252	LG05
8258	LG11
8262	LG20
8264	LG04
8268	LG07
8269	LG20
8276	LG20
8279	LG21
8287	LG05
8290	LG10
8292	LG15
8294	LG03
8295	LG22
8300	LG11
8315	LG04
8317	LG23
8321	LG02
8340	LG20
8342	LG02
8343	LG09
8347	LG13
8355	LG03
8356	LG13
8360	LG02
8361	LG15
8367	LG10
8375	LG13
8382	LG09
8386	LG16
8389	LG20
8395	LG09
8398	LG11
8399	LG20
8408	LG08
8417	LG16
8425	LG13
8426	LG11
8435	LG20
8451	LG11
8459	LG02
8464	LG03
8465	LG18
8466	LG06
8478	LG04
8493	LG21
8500	LG19
8514	LG21
8515	LG15
8521	LG17
8525	LG11
8528	LG05
8530	LG02
8539	LG08
8541	LG01
8552	LG06
8557	LG06
8559	LG15
8562	LG12
8563	LG11
8565	LG07
8568	LG17
8572	LG05
8577	LG01
8581	LG16
8582	LG09
8583	LG21
8584	LG12
8585	LG09
8588	LG08
8591	LG21
8595	LG19
8596	LG20
8598	LG14
8599	LG12
8601	LG19
8622	LG07
8630	LG07
8635	LG14
8638	LG07
8639	LG14
8657	LG08
8666	LG20
8683	LG23
8688	LG19
8692	LG10
8694	LG01
8696	LG12
8700	LG15
8722	LG21
8723	LG15
8732	LG20
8735	LG08
8739	LG08
8744	LG19
8759	LG09
8761	LG09
8762	LG12
8775	LG04
8778	LG02
8779	LG12
8784	LG03
8792	LG22
8802	LG12
8803	LG16
8805	LG21
8807	LG09
8820	LG21
8823	LG09
8826	LG20
8829	LG05
8832	LG12
8833	LG11
8835	LG09
8840	LG16
8842	LG14
8855	LG05
8856	LG17
8862	LG08
8865	LG02
8870	LG20
8874	LG06
8882	LG20
8883	LG16
8889	LG04
8895	LG18
8896	LG02
8897	LG11
8905	LG13
8909	LG22
8913	LG05
8918	LG16
8924	LG17
8929	LG11
8941	LG11
8943	LG11
8946	LG11
8948	LG18
8950	LG16
8951	LG11
8966	LG08
8971	LG04
8972	LG16
8983	LG18
8987	LG11
8995	LG18
8998	LG09
9009	LG20
9010	LG22
9012	LG01
9019	LG08
9022	GmG20150304_scaffold_5673
9028	LG18
9033	LG07
9036	LG15
9039	LG01
9041	LG04
9081	LG01
9082	LG13
9083	LG08
9095	LG08
9096	LG12
9097	LG06
9101	LG15
9115	GmG20150304_scaffold_4979
9118	LG09
9127	LG14
9132	LG08
9146	LG22
9148	LG12
9149	LG01
9153	LG17
9158	LG18
9161	LG07
9169	LG06
9183	LG01
9193	LG04
9205	LG14
9220	LG21
9224	LG04
9229	LG06
9238	LG23
9250	LG20
9258	LG08
9260	LG21
9273	LG18
9274	LG14
9276	LG10
9283	LG16
9284	LG23
9289	LG18
9295	LG17
9297	LG08
9301	LG14
9304	LG07
9310	LG16
9311	LG11
9315	LG11
9316	LG17
9319	LG12
9329	LG05
9338	LG09
9339	LG10
9341	LG18
9347	LG03
9351	LG11
9353	LG22
9355	LG20
9370	LG01
9380	LG23
9382	LG02
9383	LG12
9386	LG13
9390	LG04
9393	LG09
9396	LG19
9399	LG14
9406	LG16
9408	LG06
9414	LG15
9417	LG14
9428	LG03
9432	LG18
9441	LG14
9447	LG07
9448	LG20
9455	LG19
9460	LG13
9465	LG12
9481	LG09
9487	LG21
9495	LG16
9497	LG04
9510	LG15
9515	LG23
9517	LG11
9521	LG07
9529	LG15
9534	LG08
9536	LG13
9540	LG11
9542	LG20
9545	LG01
9547	LG23
9553	LG17
9558	LG20
9564	LG09
9565	LG13
9566	LG09
9569	LG05
9571	LG01
9582	LG10
9585	LG21
9588	LG02
9589	LG01
9594	LG22
9598	LG05
9604	LG23
9606	LG08
9609	LG05
9610	LG03
9612	LG01
9626	LG11
9632	LG04
9633	LG08
9639	LG15
9642	LG01
9654	LG11
9669	LG05
9670	LG23
9683	LG06
9684	LG18
9687	LG01
9694	LG12
9695	LG09
9713	LG16
9714	LG08
9724	LG22
9727	LG02
9735	LG04
9738	LG05
9741	LG04
9755	LG19
9758	LG15
9760	LG10
9764	LG14
9768	LG13
9778	LG04
9779	LG18
9791	LG14
9793	LG04
9798	LG14
9810	LG09
9829	LG14
9836	LG07
9842	LG22
9843	LG08
9844	LG04
9845	LG03
9853	LG04
9854	LG13
9856	LG21
9858	LG22
9859	LG18
9873	LG10
9880	LG09
9885	LG06
9886	LG06
9888	LG13
9889	LG10
9892	LG15
9895	LG11
9914	LG12
9917	LG07
9920	LG04
9922	LG07
9951	LG14
9955	LG15
9959	LG10
9967	LG14
9969	LG12
9994	LG08
9999	LG12
10000	LG12
10004	LG06
10009	LG02
10020	LG22
10023	LG23
10030	LG22
10037	LG13
10040	GmG20150304_scaffold_9015
10049	LG18
10055	LG03
10056	LG21
10058	GmG20150304_scaffold_2224
10061	LG03
10068	LG01
10070	LG23
10088	LG06
10089	LG16
10101	LG01
10112	LG14
10115	LG03
10123	LG08
10127	LG16
10133	LG08
10137	LG06
10142	LG18
10150	LG23
10156	LG12
10158	LG03
10160	LG13
10166	LG01
10171	LG16
10177	LG01
10180	LG16
10183	LG10
10187	LG05
10195	LG12
10200	LG03
10201	LG14
10202	LG01
10203	LG16
10221	LG14
10225	LG13
10228	LG20
10233	LG03
10236	LG15
10248	LG18
10249	LG21
10272	LG21
10278	LG01
10281	LG04
10285	LG07
10288	LG04
10303	LG23
10307	LG20
10312	LG13
10314	LG19
10315	LG16
10319	LG06
10329	LG08
10344	LG01
10345	LG03
10347	LG23
10352	GmG20150304_scaffold_8078
10355	LG13
10368	LG04
10373	LG01
10379	LG09
10387	LG12
10395	LG22
10396	LG23
10398	LG04
10404	LG10
10434	LG15
10440	LG10
10445	LG20
10452	LG18
10464	LG13
10466	LG08
10467	LG03
10474	LG09
10477	LG21
10478	LG21
10486	LG12
10492	LG03
10498	LG02
10500	LG01
10504	LG04
10505	LG12
10512	LG23
10513	LG14
10515	LG06
10520	LG11
10521	LG10
10527	LG20
10529	LG05
10548	LG04
10553	LG11
10562	LG13
10564	LG22
10567	LG02
10569	LG21
10571	LG05
10579	LG01
10589	LG23
10591	LG04
10592	LG03
10598	LG07
10604	LG20
10605	LG18
10624	LG06
10631	LG14
10635	LG12
10637	LG18
10648	LG14
10660	LG06
10661	LG22
10662	LG12
10664	LG20
10665	LG08
10682	LG23
10689	LG09
10692	LG11
10693	LG17
10711	LG12
10715	LG05
10721	LG02
10727	LG09
10730	LG05
10734	LG19
10743	LG18
10752	LG10
10753	LG05
10771	LG14
10774	LG05
10783	LG18
10786	LG13
10800	LG03
10801	LG08
10807	LG10
10817	LG16
10822	LG05
10823	LG13
10824	LG17
10831	LG03
10832	LG09
10834	LG10
10843	LG07
10858	LG05
10862	LG09
10875	LG09
10877	LG23
10885	LG06
10888	LG13
10891	LG07
10895	LG14
10897	LG14
10898	LG16
10904	LG04
10914	LG12
10917	LG13
10921	LG08
