Locus,Scaffold,Start_bp,MQ,
525,LG11,28092459,40,
532,LG12,18421741,42,
534,LG02,16233258,42,
538,LG11,13643222,23,
539,LG09,10073918,42,
543,LG18,1729789,40,
549,LG08,11071924,40,
567,LG05,2535105,42,
572,LG20,21987381,24,
576,LG05,8359518,23,
580,LG03,4863472,42,
588,LG21,15008260,23,
594,LG14,2325174,42,
599,LG11,10210025,24,
609,LG13,8544563,40,
610,LG13,19018792,42,
630,LG08,13756482,40,
641,LG07,806682,40,
644,LG10,18005425,42,
653,LG13,8744920,40,
654,LG04,7340219,42,
656,LG10,2930007,24,
666,LG21,18440621,42,
673,LG21,9085797,42,
676,LG13,14695604,42,
678,LG23,22919038,23,
680,LG09,1654444,42,
687,LG06,3477349,22,YT:Z:UU
693,LG14,12869166,42,
702,LG17,10130879,42,
705,LG06,18660007,42,
707,LG16,14151027,42,
709,LG04,1381542,15,YT:Z:UU
717,LG11,5277558,40,
730,LG19,20490949,40,
732,LG20,22383991,24,
737,LG01,16350985,23,
740,LG19,7893544,24,
741,LG20,8455567,40,
747,LG15,3469027,42,
752,LG12,4213555,42,
755,LG22,16231564,42,
761,LG01,13168269,42,
765,LG11,12778854,40,
766,LG03,5971778,42,
768,LG13,5556972,24,
782,LG13,16536304,40,
787,LG14,7114942,42,
792,LG08,6783221,40,
793,LG12,7732134,42,
797,LG01,23089290,24,
800,LG01,22477868,24,
803,LG15,8433971,24,
816,LG02,16557927,21,YT:Z:UU
822,LG07,6601613,23,
826,LG20,9429893,40,
830,LG03,17266739,40,
837,LG03,8151023,40,
850,LG04,26723757,24,
856,LG10,5851100,42,
859,LG19,5854778,40,
863,LG15,4393982,42,
867,LG22,18680673,40,
869,LG19,16333461,23,
886,LG07,11693755,23,
890,LG13,3680987,42,
899,LG23,8981598,42,
901,LG01,21623253,42,
908,LG06,12522837,40,
911,LG23,16779284,40,
920,LG22,3422278,42,
921,LG16,15093997,40,
949,LG05,18446161,24,
952,LG15,20903484,40,
953,LG09,18413149,42,
959,LG21,3580050,42,
966,LG18,11939386,42,
969,LG14,22855221,42,
979,LG17,8319457,42,
984,LG09,14755944,42,
986,LG18,17770586,42,
994,LG19,9028312,42,
998,LG16,22770752,42,
1001,LG07,17428649,42,
1003,LG01,22314645,42,
1013,LG09,6946756,42,
1018,LG03,29149123,23,
1019,LG13,11331738,42,
1027,LG05,2447231,42,
1030,LG23,13797019,40,
1041,LG03,20702936,42,
1042,LG02,8721031,24,
1057,LG04,987643,42,
1064,LG08,13960352,40,
1072,LG06,4206846,42,
1087,LG04,16838550,40,
1090,LG15,17499718,11,YT:Z:UU
1101,LG04,9947579,40,
1102,LG04,14058496,42,
1104,LG19,4503503,42,
1107,LG01,13828307,40,
1112,LG05,14058044,42,
1121,LG11,26193891,23,
1125,LG18,19931962,24,
1131,LG11,10595723,42,
1140,LG01,13275503,40,
1141,LG11,11495288,42,
1150,LG16,22797954,42,
1162,LG15,19506351,42,
1164,LG11,6099666,24,
1191,LG12,18752027,42,
1193,LG20,13703518,40,
1198,LG04,25144404,23,
1199,LG04,33514758,42,
1219,LG10,6424597,42,
1226,LG10,17743078,42,
1228,LG09,13889524,42,
1238,LG02,5625197,23,
1239,LG01,19119354,42,
1243,LG12,25100471,23,
1245,LG06,16464110,40,
1249,LG20,6673317,40,
1251,LG03,7081604,42,
1257,LG03,16152498,40,
1277,LG07,9019538,40,
1283,LG06,14766734,42,
1286,LG20,6539707,42,
1291,LG16,17157006,40,
1306,LG10,20938084,24,
1308,LG02,23955104,42,
1317,LG12,3284303,42,
1322,LG07,9605534,40,
1325,LG05,11738400,40,
1344,LG20,7176219,40,
1355,LG01,9598261,40,
1361,LG11,24801031,24,
1373,LG13,15878658,40,
1374,LG10,12857870,40,
1392,LG21,20515288,42,
1398,LG11,10698310,42,
1401,LG20,7418762,24,
1402,LG14,10322868,24,
1423,LG09,4100686,23,
1428,LG01,11727997,24,
1452,LG12,11818080,40,
1453,LG12,11963609,42,
1455,LG10,22001194,40,
1459,LG04,575857,42,
1463,LG21,15279173,42,
1464,LG09,6084728,42,
1470,LG13,15821028,42,
1473,LG14,5901524,42,
1485,LG06,10515853,42,
1490,LG13,19012364,42,
1491,LG07,4508242,23,
1506,LG11,7746059,42,
1519,LG15,15461129,40,
1522,LG23,12011659,42,
1525,LG02,534927,24,
1528,LG07,19738302,42,
1530,LG13,12440085,42,
1539,LG12,12097684,40,
1540,LG09,16940256,42,
1547,LG15,8882472,40,
1548,LG22,5312355,40,
1550,LG10,2502491,24,
1551,LG07,21744702,23,
1561,LG07,9359888,42,
1565,LG21,7651427,23,
1566,LG08,19299198,42,
1578,LG11,17181767,42,
1602,LG07,14880972,42,
1616,LG18,7683702,24,
1621,LG11,25382764,42,
1625,LG16,9667128,40,
1629,LG18,5505709,42,
1632,LG15,24882935,24,
1647,LG03,7584310,42,
1649,LG08,10243769,42,
1650,LG13,6296456,40,
1654,LG13,14576126,42,
1668,LG14,28035100,42,
1669,LG01,9493971,42,
1670,LG21,12826651,40,
1676,LG15,5091108,26,YT:Z:UU
1678,LG15,7404426,42,
1690,LG17,16433379,24,
1693,LG07,14640641,42,
1696,LG03,23099679,42,
1698,LG11,20185088,42,
1712,LG11,8086242,42,
1719,LG17,18367089,42,
1734,LG06,23494506,15,YT:Z:UU
1736,LG18,2039492,42,
1750,LG09,24143350,40,
1752,LG20,7594846,40,
1764,LG05,13320229,42,
1770,LG21,9959568,40,
1771,LG05,13112466,40,
1773,LG16,29239496,40,
1777,LG18,19435949,42,
1780,LG18,13928233,40,
1781,LG01,10313235,42,
1793,LG02,15671042,42,
1796,LG06,17404264,40,
1809,LG18,8911834,42,
1810,LG02,23270583,40,
1811,LG14,3093135,23,
1816,LG16,28267195,40,
1827,LG10,21232553,40,
1828,LG12,16935428,40,
1831,LG23,23227701,42,
1832,GmG20150304_scaffold_6317,94744,42,
1838,LG08,18791207,40,
1849,LG18,20912021,24,
1855,LG19,6567329,40,
1862,LG10,17098845,42,
1870,LG05,13695722,40,
1871,LG18,22518264,40,
1876,LG14,5878655,39,YT:Z:UU
1884,LG15,23611350,23,
1886,LG01,17764154,42,
1890,LG14,24505105,40,
1891,LG13,19539780,42,
1895,LG06,3618790,42,
1910,LG03,20523113,23,
1916,LG11,17081118,42,
1919,LG17,8720033,42,
1923,LG14,5451290,40,
1924,LG09,17075723,24,
1929,LG05,7346731,40,
1931,LG11,18595799,42,
1934,LG05,3173988,23,
1936,LG13,11362530,42,
1946,LG22,4713272,23,
1948,LG03,20433349,42,
1954,LG09,16086669,27,YT:Z:UU
1960,LG10,20021479,23,
1964,LG16,15488473,24,
1965,LG03,14212479,40,
1967,LG17,1484670,23,
1974,LG14,13284571,42,
1979,LG08,4944947,23,
1983,LG12,24222847,42,
1985,LG09,7118158,42,
1993,LG16,31032772,42,
1997,LG21,12378241,23,
2002,LG03,22368849,40,
2012,LG05,14117732,40,
2019,LG07,17433168,40,
2023,LG18,13541727,24,
2045,LG21,10046461,23,
2046,LG03,19926799,42,
2049,LG01,23068419,42,
2052,LG09,6944048,40,
2061,LG17,9693957,42,
2065,LG16,25894732,40,
2068,LG03,22744356,42,
2070,LG14,16459177,40,
2073,LG17,5505917,42,
2079,LG21,20006161,42,
2082,LG21,10135760,42,
2094,LG11,28740584,40,
2098,LG01,7446401,24,
2101,LG04,24968352,42,
2103,LG18,14455637,40,
2104,LG07,14094790,42,
2108,LG15,5402201,21,YT:Z:UU
2117,LG14,12018188,40,
2120,LG19,3501840,24,
2131,LG12,12095214,42,
2133,LG04,2538754,42,
2151,LG14,7233710,40,
2158,LG23,9310481,42,
2160,LG11,10779206,42,
2164,LG16,27635533,23,
2171,LG11,14495744,42,
2175,LG10,18165811,42,
2191,GmG20150304_scaffold_1950,53248,26,YT:Z:UU
2202,LG13,7099405,42,
2209,LG21,18665908,42,
2214,LG20,2644935,42,
2217,LG13,24354410,42,
2221,LG11,25803633,42,
2237,LG07,14871447,40,
2238,LG10,2799767,23,
2240,LG08,10125506,42,
2275,LG06,15803151,42,
2276,LG02,11144768,42,
2277,LG01,15179340,23,
2278,LG04,13791089,24,
2279,LG12,6025995,42,
2309,LG21,21010013,24,
2314,LG03,8761881,24,
2315,LG04,15623953,23,
2318,LG08,22765798,11,YT:Z:UU
2320,LG20,1897547,42,
2330,LG14,2457569,24,
2333,LG13,19759262,42,
2336,LG18,15005800,40,
2337,LG07,28399818,42,
2343,LG08,24451697,26,YT:Z:UU
2344,LG23,9874646,42,
2346,LG13,19423680,40,
2350,LG13,18476138,40,
2353,LG17,5819672,42,
2356,LG13,21149624,42,
2360,LG20,14555094,40,
2365,LG16,25939735,23,
2367,LG14,8286169,42,
2370,LG22,8468549,40,
2372,LG21,9732732,24,
2373,LG19,15102389,42,
2387,LG11,6903538,40,
2395,LG01,10925525,42,
2396,LG21,13077458,42,
2405,LG01,13359368,24,
2406,LG06,8394859,23,
2409,LG12,2821400,23,
2411,LG13,19499466,42,
2419,LG15,11925618,42,
2427,LG15,10348648,40,
2431,LG03,16874351,40,
2434,LG20,22149852,42,
2435,LG23,2830611,40,
2445,LG15,22182620,23,
2457,LG07,12362035,42,
2458,LG15,13132172,24,
2459,LG06,8028636,24,
2463,LG23,18628873,11,YT:Z:UU
2484,LG01,27748969,23,
2495,LG07,19729496,40,
2504,LG13,15541490,40,
2506,LG06,20740935,42,
2507,LG05,4212468,14,YT:Z:UU
2512,LG16,15488337,40,
2523,LG14,202833,42,
2527,LG01,11703478,40,
2530,LG21,19581966,24,
2531,LG19,1674079,42,
2535,LG21,19584532,23,
2536,LG23,14392916,42,
2537,LG11,14815875,42,
2547,LG15,8857268,42,
2555,LG19,14457592,42,
2566,LG11,25050564,42,
2578,LG06,20519798,40,
2580,LG03,8603218,42,
2581,LG17,5506104,42,
2584,LG05,23531247,24,
2588,LG11,15960443,40,
2590,LG21,19529261,42,
2594,LG02,13321730,42,
2605,LG01,26278787,40,
2609,LG17,15511179,24,
2611,LG16,18681054,40,
2626,LG21,8442668,40,
2631,LG17,3308453,11,YT:Z:UU
2635,LG10,22879308,40,
2646,LG22,16526905,42,
2650,LG07,15353768,40,
2653,LG18,21870983,40,
2658,LG13,23119680,40,
2662,LG07,13236276,40,
2688,LG22,122447,42,
2691,LG06,5549003,42,
2694,LG02,7704595,40,
2695,LG21,21919557,40,
2696,LG06,3953070,24,
2703,LG14,16052999,42,
2705,LG01,11869646,40,
2717,LG09,14618268,40,
2725,LG07,21503929,40,
2743,LG12,24215002,23,
2745,LG15,17496291,42,
2765,LG03,14012575,42,
2767,LG14,9081425,24,
2770,LG02,4602783,40,
2771,LG06,12993301,42,
2772,LG21,10716012,42,
2774,LG15,24809063,40,
2775,LG08,21068694,42,
2785,LG14,15397575,42,
2809,LG06,17595671,40,
2812,LG15,25702914,11,YT:Z:UU
2818,LG07,2767850,42,
2819,LG09,23542361,24,
2822,LG12,19916153,42,
2824,LG08,8748824,40,
2839,LG22,766075,40,
2848,LG14,12142994,42,
2869,LG23,939571,42,
2873,LG11,20533995,42,
2878,LG19,13952630,24,
2881,LG13,8234164,42,
2882,LG02,17374957,42,
2883,LG07,12159344,42,
2887,LG01,28089763,40,
2892,LG08,26184593,24,
2897,LG20,13251799,40,
2899,LG13,18341789,40,
2903,LG20,23814285,27,YT:Z:UU
2906,LG23,17166837,16,YT:Z:UU
2909,LG22,2513497,23,
2910,LG16,24589489,26,YT:Z:UU
2911,LG01,17231454,42,
2916,LG03,20582299,24,
2927,LG14,15689275,42,
2933,LG05,17569537,42,
2936,LG10,15163604,40,
2937,LG02,10295673,42,
2940,LG20,9261701,42,
2944,LG20,23059919,42,
2955,LG03,3826569,42,
2959,LG11,22402420,42,
2964,LG01,3842374,42,
2968,LG01,17931345,40,
2977,LG19,12728793,40,
2980,LG22,21435911,40,
2981,LG16,5085307,40,
2982,LG07,25379994,24,
2983,LG20,8119561,42,
2990,LG18,13129513,40,
2998,LG14,8562623,24,
3000,LG16,5738820,42,
3008,LG07,10800452,42,
3010,LG08,13837640,42,
3013,LG09,20338462,42,
3015,LG14,22294027,42,
3022,GmG20150304_scaffold_3201,5428,11,YT:Z:UU
3033,LG18,1987451,42,
3034,LG10,12858006,40,
3049,LG20,13442504,24,
3052,LG09,10808992,42,
3058,LG01,9089476,42,
3061,LG11,3768437,42,
3066,LG11,10611402,40,
3068,LG01,8353221,42,
3084,LG04,31151298,23,
3089,LG01,13625727,42,
3101,LG12,12059104,40,
3103,LG08,4803455,40,
3105,LG07,13297888,40,
3106,LG22,19156429,24,
3107,LG08,24846153,40,
3112,LG15,13071823,42,
3125,LG19,7876975,42,
3128,LG01,21051953,23,
3133,LG14,25824859,42,
3140,LG04,23637227,24,
3143,LG23,14600866,42,
3158,LG03,12343292,42,
3160,LG10,24878042,42,
3161,LG12,6687608,23,
3166,LG18,18120478,42,
3183,LG16,8143168,42,
3192,LG13,2757998,42,
3193,LG11,16226805,42,
3200,LG09,4200504,40,
3201,LG21,12713994,42,
3202,LG13,12217715,23,
3206,LG21,6035214,40,
3207,LG12,21990246,40,
3213,LG03,15109240,42,
3215,LG03,13069918,42,
3224,LG06,5630533,40,
3231,LG17,16950833,42,
3241,LG16,12671455,23,
3242,LG13,20637083,40,
3247,LG17,3178300,42,
3251,LG16,19834374,42,
3255,LG15,8944518,42,
3256,LG20,21699658,42,
3257,LG08,729888,42,
3265,LG11,24536107,40,
3268,LG16,12195839,40,
3275,LG08,8966941,42,
3276,LG11,23912483,24,
3283,LG05,6350411,40,
3284,LG20,21813489,42,
3286,LG01,8599681,24,
3293,LG15,8329462,40,
3301,LG20,1257416,42,
3313,LG16,19800798,40,
3314,LG22,10670043,42,
3315,LG20,14041475,42,
3317,LG19,15655243,40,
3318,LG14,11676311,40,
3323,LG12,8222290,40,
3329,LG11,14468693,40,
3330,LG08,19661571,42,
3333,LG10,6003116,42,
3341,LG12,4146398,40,
3350,LG22,912392,42,
3359,LG18,6528272,40,
3362,LG10,18138184,42,
3363,LG01,2734393,42,
3366,LG19,19149573,42,
3369,LG01,24875853,42,
3372,LG01,17544233,40,
3398,LG23,1731017,24,
3405,LG17,16325167,24,
3406,LG12,5397735,40,
3410,LG07,21594482,23,
3415,LG01,4470604,40,
3417,LG17,7721039,40,
3423,LG14,24505243,40,
3438,LG12,6026133,24,
3440,LG13,24575544,40,
3441,LG04,21476394,40,
3446,LG17,4126590,42,
3467,LG16,20867797,42,
3469,LG16,17293427,40,
3473,LG01,20417310,21,YT:Z:UU
3486,LG14,11002250,40,
3490,LG10,24832816,24,
3508,GmG20150304_scaffold_6317,60925,11,YT:Z:UU
3509,LG11,1037514,40,
3518,LG13,1535383,42,
3519,LG02,9490420,40,
3521,LG02,12024181,42,
3524,LG05,12530336,42,
3527,LG01,28032467,42,
3528,LG18,19494735,40,
3536,LG17,7633534,24,
3548,LG09,1872590,40,
3561,LG09,7407535,42,
3580,LG16,27384004,42,
3583,LG18,16244299,40,
3585,LG06,5572478,42,
3588,LG04,8519235,40,
3596,LG18,22110480,40,
3602,LG13,1535521,40,
3604,LG07,12006984,40,
3615,LG02,18900520,40,
3620,LG19,14112872,23,
3635,LG14,20825364,42,
3641,LG09,12609921,23,
3643,LG03,18130551,40,
3652,LG19,12759422,42,
3653,LG03,20306369,42,
3655,GmG20150304_scaffold_9678,16372,25,YT:Z:UU
3660,LG18,18688291,42,
3666,LG15,23234514,24,
3676,LG20,10650439,40,
3679,LG02,14072859,24,
3681,LG08,9958416,40,
3686,LG21,5722754,42,
3689,LG17,234864,42,
3699,LG14,18092257,42,
3701,LG15,21523228,42,
3714,LG18,8102824,40,
3716,LG16,18742815,42,
3721,LG14,17957311,40,
3723,LG19,2026203,42,
3726,LG10,18099708,42,
3739,LG03,19916614,24,
3742,LG20,7955813,42,
3743,LG21,4855266,23,
3759,LG09,11812109,23,
3760,LG04,34503689,42,
3761,LG08,9741266,42,
3768,LG04,8127237,42,
3771,LG11,14501523,42,
3772,LG06,14278663,42,
3778,LG04,20702089,15,YT:Z:UU
3779,LG23,19738731,42,
3785,LG20,4903898,40,
3787,LG21,11188757,24,
3798,LG19,5917145,42,
3800,LG16,9451388,18,YT:Z:UU
3802,LG01,2734254,40,
3804,LG08,24762772,40,
3811,LG04,8899722,24,
3816,LG04,13557402,42,
3824,LG06,7867106,42,
3827,LG11,20430752,42,
3831,LG09,5671531,42,
3836,LG06,24729151,42,
3838,LG16,23421752,42,
3840,LG07,823426,42,
3856,LG06,17505532,42,
3863,LG07,21815795,26,YT:Z:UU
3868,LG20,10759615,40,
3879,LG19,3481765,42,
3880,LG16,26830950,23,
3882,LG01,16539719,42,
3884,LG01,24038892,42,
3890,LG20,21155983,42,
3891,LG03,13761867,40,
3894,LG04,33514896,24,
3895,LG09,5032773,42,
3901,LG07,10308589,24,
3902,LG04,17135159,17,YT:Z:UU
3906,LG03,24223828,42,
3907,LG15,22561395,42,
3912,LG13,1193395,42,
3913,LG16,28482270,23,
3914,LG21,14840925,40,
3915,LG10,20151928,23,
3917,LG21,15316907,40,
3920,LG22,9367687,42,
3925,LG04,19808416,23,
3933,LG02,1995482,32,YT:Z:UU
3937,LG06,18751866,24,
3945,LG20,8942831,24,
3948,LG11,12620624,42,
3949,LG20,4384449,42,
3950,LG05,10063762,42,
3957,LG10,16747589,42,
3960,LG22,9230194,42,
3967,LG14,20885177,42,
3968,LG05,21323209,42,
3969,LG09,17063635,42,
3970,LG22,15830874,23,
3972,LG06,6442179,24,
3976,LG17,16950695,36,YT:Z:UU
3982,LG01,19759592,23,
3983,LG10,18468024,24,
3991,LG22,9693677,40,
4006,LG09,7257856,42,
4009,LG12,20815511,42,
4011,LG04,24866885,23,
4024,LG09,8211355,42,
4028,LG07,18790673,24,
4029,LG16,5444519,42,
4032,LG11,2619748,11,YT:Z:UU
4033,LG21,18774928,40,
4034,LG13,24013619,24,
4036,LG07,2097338,40,
4037,LG23,9262983,42,
4043,LG11,8130158,42,
4045,LG14,18805458,42,
4048,LG14,19442600,42,
4049,LG10,17543844,40,
4050,LG20,5165816,42,
4052,LG22,9047081,40,
4054,LG18,20408432,42,
4066,LG11,12127935,42,
4084,LG10,9793167,42,
4085,LG21,9732870,24,
4090,LG04,33598813,42,
4091,LG06,237908,42,
4092,LG21,9121557,40,
4093,LG19,6386417,42,
4096,LG01,21985768,40,
4099,LG13,20023940,42,
4105,LG10,9119526,42,
4107,LG04,23389836,42,
4112,LG06,14270585,24,
4128,LG10,16638201,42,
4130,LG14,10892043,40,
4135,GmG20150304_scaffold_7973,129609,42,
4138,LG05,17926904,24,
4144,LG14,27732270,23,
4151,LG19,14651307,23,
4155,LG05,17974960,23,
4161,LG23,20615492,24,
4172,LG17,14605477,42,
4173,LG22,470189,24,
4176,LG23,3271890,42,
4179,LG21,7282029,42,
4199,LG21,20674508,24,
4202,LG20,2802662,42,
4206,LG23,3521237,42,
4218,LG11,9920661,40,
4223,LG21,12444676,24,
4237,LG01,18164746,24,
4240,LG08,12744884,40,
4250,LG06,23059190,23,
4251,LG23,8305610,40,
4252,LG21,5024802,23,
4256,LG14,22620156,40,
4257,LG23,17166701,23,
4260,LG16,7435801,42,
4266,LG20,16370745,42,
4270,LG06,18998111,40,
4273,LG19,5165516,42,
4283,LG12,22018953,40,
4288,LG07,26209217,40,
4291,LG14,27989514,42,
4296,LG06,14957178,42,
4312,LG22,15102998,40,
4320,LG14,11737163,24,
4324,LG06,12297758,23,
4326,LG19,4553165,40,
4330,LG09,19494239,42,
4331,LG16,18563816,42,
4335,LG19,4571949,42,
4343,LG07,806544,26,YT:Z:UU
4345,LG07,8306542,42,
4359,LG04,27352498,40,
4365,LG18,14023597,24,
4369,LG20,2829915,42,
4379,LG12,20827581,42,
4381,LG20,5032422,40,
4382,LG05,22414129,42,
4385,LG22,11062270,24,
4387,LG06,16035875,42,
4389,LG03,19649068,42,
4391,LG13,19927514,23,
4394,LG09,12238507,24,
4400,LG05,2397827,14,YT:Z:UU
4403,LG06,17106954,42,
4405,LG19,13287150,42,
4408,LG23,192827,42,
4410,LG21,3250832,40,
4416,LG03,27350692,24,
4423,LG16,7650552,40,
4436,LG18,22150922,42,
4437,LG12,4779036,42,
4439,LG21,5426271,40,
4451,LG04,6571110,42,
4454,LG12,5077798,42,
4462,LG02,22029345,42,
4481,LG06,16217639,40,
4482,LG05,23973410,42,
4486,LG09,16838599,42,
4489,LG10,7813435,23,
4490,LG16,9663891,23,
4505,LG09,5032635,42,
4518,LG23,18244359,42,
4520,LG02,12470225,40,
4528,LG12,6507258,42,
4529,LG07,15878984,42,
4533,LG13,19009504,42,
4540,LG13,16647446,42,
4570,LG09,9449160,42,
4574,LG05,11214561,40,
4576,LG12,23074673,40,
4577,LG06,11505558,42,
4584,LG08,7197967,24,
4594,LG06,489796,42,
4601,LG17,16510645,42,
4607,LG12,4809150,24,
4609,LG15,23477251,40,
4614,LG03,27467703,40,
4621,LG14,25213698,23,
4622,LG06,22448411,24,
4626,LG22,19809786,23,
4628,LG05,10222929,42,
4629,LG18,16659720,42,
4632,LG20,21148698,42,
4635,LG03,11793104,24,
4639,LG15,6112401,42,
4643,LG18,18101213,23,
4647,LG16,29902199,40,
4648,LG14,6068105,40,
4665,LG21,12378098,23,
4679,LG13,12582940,42,
4680,LG03,12288918,42,
4689,LG15,19559215,23,
4697,LG03,525362,42,
4699,LG11,12058857,23,
4702,LG11,18564220,42,
4706,LG16,6040999,40,
4717,LG15,24781583,40,
4721,LG07,20645188,42,
4722,LG06,5737064,42,
4724,LG15,9602370,40,
4735,LG20,16688936,24,
4740,LG09,3560710,42,
4745,LG09,22628590,42,
4748,LG17,11306859,24,
4755,LG18,6589428,42,
4765,LG07,23746283,24,
4768,LG02,112988,40,
4770,LG06,25341121,23,
4771,LG01,24794728,42,
4773,LG20,24092224,40,
4785,LG02,17796932,40,
4791,LG23,2647854,42,
4792,LG18,3128529,42,
4801,LG11,24752531,23,
4822,LG12,16772917,42,
4846,LG14,12252629,42,
4859,LG10,1370047,42,
4866,LG15,25375073,23,
4869,LG07,27715221,42,
4872,LG07,18277463,42,
4873,LG22,4547210,24,
4884,LG15,15289336,42,
4885,LG23,17304841,23,
4887,LG22,15046804,42,
4888,LG07,12728851,40,
4889,LG14,1337435,42,
4894,LG19,20477466,40,
4897,LG10,22143013,42,
4912,LG22,7159596,42,
4913,LG01,23100852,42,
4916,LG08,9590391,40,
4928,GmG20150304_scaffold_4105,19666,42,
4929,LG16,25662572,23,
4933,LG03,3440913,42,
4944,LG20,16287926,42,
4953,LG15,16469013,24,
4955,LG06,10569766,40,
4960,LG04,27524826,40,
4961,LG10,6953724,23,
4964,LG13,13929058,40,
4969,LG12,4298590,42,
4971,LG15,23235503,24,
4974,LG23,16872370,42,
4977,LG23,15059932,42,
4986,LG09,10894402,42,
4988,LG19,5823339,40,
4997,LG02,1862931,24,
4999,LG20,19627680,42,
5002,LG14,12928347,42,
5003,LG06,14131836,42,
5017,LG21,3176955,42,
5020,LG04,27557603,42,
5022,LG08,5222510,42,
5023,LG09,10347416,42,
5025,LG16,27148342,42,
5026,LG09,11933853,40,
5031,LG07,21504067,23,
5046,LG19,17735688,24,
5065,LG10,16892961,42,
5075,LG23,17985491,40,
5076,LG11,24445846,42,
5083,LG06,15516435,40,
5096,LG18,17303353,42,
5115,LG08,17200082,42,
5118,LG13,3811484,40,
5122,LG20,22894341,42,
5129,LG11,7506208,40,
5133,LG01,3925470,40,
5134,LG08,18741703,42,
5135,LG12,20595615,23,
5137,LG20,16846376,40,
5140,LG02,15328070,42,
5141,LG03,7267492,42,
5146,LG16,17982111,21,YT:Z:UU
5151,LG12,19338389,24,
5177,LG23,21497821,23,
5181,LG14,17189985,42,
5184,LG06,20059538,24,
5185,LG11,12475090,24,
5204,LG12,18593439,40,
5207,LG18,19542888,42,
5213,LG09,10439486,42,
5230,LG15,10745196,40,
5236,LG08,15134097,42,
5244,LG20,13225715,42,
5251,LG08,13957220,22,YT:Z:UU
5260,LG03,29071150,40,
5263,LG18,15485909,42,
5264,LG07,20639970,40,
5266,LG06,970220,42,
5270,LG09,19422702,24,
5272,LG02,18452431,40,
5276,LG09,24359093,24,
5278,LG23,5415195,40,
5280,LG20,6240776,42,
5284,LG23,9601195,24,
5297,LG08,15826257,40,
5299,LG18,7795023,40,
5302,LG08,11302047,42,
5306,LG20,3696988,42,
5311,LG11,22086835,40,
5316,LG05,21906804,42,
5320,LG15,25384752,24,
5328,LG01,9010262,40,
5335,LG20,13251661,42,
5336,LG12,6650537,24,
5350,LG18,3900941,23,
5353,LG08,4819255,23,
5360,LG22,5381372,42,
5365,LG09,11692295,24,
5378,LG03,25888980,42,
5383,LG11,10611264,40,
5385,LG14,28339385,23,
5388,LG12,18856874,24,
5389,LG09,8276482,40,
5392,LG03,13391203,42,
5400,LG20,3274613,40,
5407,LG01,23205095,24,
5409,LG03,20444469,42,
5414,LG06,7858844,42,
5428,LG15,16949155,42,
5429,LG10,24282689,23,
5430,LG18,5889062,42,
5435,LG06,4547707,40,
5438,LG05,20613257,40,
5439,LG21,2219282,42,
5440,LG19,5541377,42,
5442,LG20,19891865,24,
5444,LG18,8168863,24,
5454,LG19,5461515,40,
5460,LG05,3688022,42,
5463,LG01,14491082,42,
5467,LG21,17876376,23,
5468,LG23,7996770,42,
5472,LG16,27428629,42,
5477,LG23,8385419,40,
